1,0,0,0;-1,1,-1,0;1,0,-1,0;0,-1,-1,0;1,0,-1,-1
1,0,0,0;-1,22,10,9;3,-15,-4,3;2,2,-2,-15;9,3,10,1
1,0,0,0;-1,4,4,3;-1,-3,-1,3;2,3,-3,-5;4,3,5,0
1,0,0,0;-1,82,50,30;17,-63,-16,14;15,14,-15,-65;33,17,49,-2
1,0,0,0;-2,1,-5,2;4,-4,-4,-2;-5,-3,-4,1;1,-4,0,1
1,0,0,0;-2,2,0,2;-1,-2,1,-2;-2,-2,2,2;2,2,1,-1
1,0,0,0;-2,4,5,3;2,-6,-1,1;2,3,0,-4;2,1,3,-1
1,0,0,0;-2,81,46,34;18,-66,-17,16;16,16,-17,-64;31,18,47,1
1,0,0,0;-27,48,19,11;-13,28,0,-28;19,35,-20,-39;-15,-42,53,14
1,0,0,0;-3,2,2,-2;-3,2,3,2;0,-2,2,-2;0,3,1,-1
1,0,0,0;-4,3,-2,3;-1,5,1,-2;-4,5,0,3;1,4,-3,-2
1,0,0,0;-5,0,-3,-4;2,2,3,1;-3,0,4,-2;-5,-1,-5,2
1,0,0,0;-58,5,24,-17;0,41,22,18;26,56,-9,59;60,22,50,-52
1,0,0,0;0,-1,0,-1;0,1,-1,1;1,0,0,1;-1,1,-1,-1
1,0,0,0;0,0,-1,1;-1,0,1,0;0,1,-1,1;0,0,-1,1
1,0,0,0;0,1,-2,-2;0,2,-2,-1;0,0,0,-1;1,2,-1,2
1,0,0,0;0,18,12,6;5,-17,-3,5;3,5,-2,-17;9,2,12,1
1,0,0,0;0,22,13,8;5,-17,-2,2;2,4,-2,-15;7,5,14,-2
1,0,0,0;0,5,4,2;1,-4,-3,1;3,-1,-1,-4;1,0,2,-2
1,0,0,0;0,81,47,34;18,-63,-18,16;17,18,-18,-66;34,16,47,0
1,0,0,0;1,-1,2,-1;-2,2,-2,0;-2,1,2,2;-1,2,2,0
1,0,0,0;1,-3,0,3;3,2,-1,3;-3,3,0,3;-3,0,1,2
1,0,0,0;1,1,1,0;2,1,2,0;0,2,0,1;0,2,0,0
1,0,0,0;1,19,14,6;2,-18,-3,5;3,6,-2,-17;9,4,11,2
1,0,0,0;1,3,-1,0;1,3,5,-4;-1,-2,-2,1;-4,0,-1,-1
1,0,0,0;1,4,3,4;1,-2,-3,0;-1,-1,-1,-6;0,0,3,1
1,0,0,0;1,79,49,32;16,-66,-17,15;15,15,-14,-62;32,14,47,-1
1,0,0,0;12,-27,60,3;21,58,2,-32;-11,31,-15,-55;-58,53,-40,3
1,0,0,0;2,-2,-1,1;-2,-2,0,0;0,0,2,2;2,1,2,2
1,0,0,0;2,1,-4,-3;-2,-1,-4,-2;-1,-3,-2,3;5,-1,-1,0
1,0,0,0;2,2,-1,-1;-3,-1,2,0;1,1,2,-1;0,1,3,-1
1,0,0,0;2,3,4,3;2,-4,1,-1;-1,3,-2,-5;2,2,3,2
1,0,0,0;2,78,49,34;15,-66,-14,16;18,17,-17,-66;33,15,49,-1
1,0,0,0;2,82,49,32;18,-65,-15,17;16,14,-15,-65;32,16,49,2
1,0,0,0;3,-3,5,-2;-3,1,2,0;1,4,-5,1;4,0,-2,5
1,0,0,0;3,0,0,-1;5,0,-6,0;2,0,0,5;5,0,0,0
1,0,0,0;3,5,0,0;1,0,0,-4;1,3,0,0;5,0,0,0
1,0,0,0;4,0,-1,0;2,0,0,5;2,1,0,0;2,0,0,-4
1,0,0,0;4,3,-5,-1;0,-2,0,-1;5,2,-4,3;1,-2,3,0
1,0,0,0;5,0,0,-5;5,0,0,-3;2,0,4,0;3,-4,0,0
1,0,0,0;5,2,-5,1;2,-2,-1,4;-4,2,-5,-2;4,-3,-1,5
1,0,0,0;6,-5,0,0;3,0,0,0;1,0,0,0;3,0,6,0
